id,name,russian,url,kind,score,status,episodes,episodes_aired,aired_on,released_on
36896,Boku no Hero Academia the Movie 1: Futari no Hero,Моя геройская академия: Два героя,/animes/36896-boku-no-hero-academia-the-movie-1-futari-no-hero,movie,7.52,released,1,1,2018-08-03,
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Этот глупый свин не понимает мечту девочки-мечтательницы,/animes/z38329-seishun-buta-yarou-wa-yumemiru-shoujo-no-yume-wo-minai,movie,8.59,released,1,1,2019-06-15,
32951,Rokudenashi Majutsu Koushi to Akashic Records,Хроники Акаши — худшего магического преподавателя,/animes/32951-rokudenashi-majutsu-koushi-to-akashic-records,tv,7.11,released,12,12,2017-04-04,2017-06-20
36882,Arifureta Shokugyou de Sekai Saikyou,Арифурэта: Сильнейший ремесленник в мире,/animes/36882-arifureta-shokugyou-de-sekai-saikyou,tv,6.72,released,13,13,2019-07-08,2019-10-07
14467,K,Проект Кей,/animes/14467-k,tv,7.42,released,13,13,2012-10-05,2012-12-28
437,Perfect Blue,Идеальная грусть,/animes/437-perfect-blue,movie,8.55,released,1,0,1998-02-28,
31859,Hai to Gensou no Grimgar,Гримгал пепла и иллюзий,/animes/31859-hai-to-gensou-no-grimgar,tv,7.66,released,12,12,2016-01-11,2016-03-28
30307,Monster Musume no Iru Nichijou,Повседневная жизнь с девушкой-монстром,/animes/z30307-monster-musume-no-iru-nichijou,tv,6.92,released,12,12,2015-07-08,2015-09-23
39783,5-toubun no Hanayome ∬,Пять невест 2,/animes/39783-5-toubun-no-hanayome,tv,8.01,released,12,12,2021-01-08,2021-03-26
31798,Kiznaiver,Кизнайвер,/animes/z31798-kiznaiver,tv,7.36,released,12,12,2016-04-09,2016-06-25
18671,Chuunibyou demo Koi ga Shitai! Ren,Чудачества любви не помеха! 2,/animes/18671-chuunibyou-demo-koi-ga-shitai-ren,tv,7.55,released,12,12,2014-01-09,2014-03-27
37210,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,Повелитель тьмы: Другая история мира — Магия подчинения,/animes/37210-isekai-maou-to-shoukan-shoujo-no-dorei-majutsu,tv,6.81,released,12,12,2018-07-05,2018-09-20
49918,Boku no Hero Academia 6th Season,Моя геройская академия 6,/animes/49918-boku-no-hero-academia-6th-season,tv,8.22,released,25,24,2022-10-01,2023-03-25
39701,Nanatsu no Taizai: Kamigami no Gekirin,Семь смертных грехов: Гнев богов,/animes/39701-nanatsu-no-taizai-kamigami-no-gekirin,tv,6.47,released,24,24,2019-10-09,2020-03-25
32998,91 Days,91 день,/animes/32998-91-days,tv,7.82,released,12,12,2016-07-09,2016-10-01
270,Hellsing,Хеллсинг: Война с нечистью,/animes/270-hellsing,tv,7.5,released,13,0,2001-10-11,2002-01-17
